id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_day,dropoff_day,pickup_day_no,dropoff_day_no,pickup_hour,dropoff_hour,pickup_month,dropoff_month,pickup_timeofday,dropoff_timeofday,distance
id0552922,1,2016-06-20T09:39:51.000Z,2016-06-20T09:42:01.000Z,1,-73.98284912109375,40.768558502197266,-73.97772216796875,40.76486587524414,N,130,Monday,Monday,6,6,9,9,6,6,Morning,Morning,0.5958372545081478
id1514177,2,2016-04-18T22:07:58.000Z,2016-04-18T22:17:28.000Z,1,-73.97492980957031,40.74172592163086,-73.99431610107422,40.737335205078125,N,570,Monday,Monday,4,4,22,22,4,4,Night,Night,1.7047186860600014
id2479677,2,2016-01-29T18:40:34.000Z,2016-01-29T18:47:14.000Z,1,-74.00550842285156,40.74091720581055,-73.99651336669922,40.75347137451172,N,400,Friday,Friday,1,1,18,18,1,1,Night,Night,1.5883636563372936
id1838947,2,2016-03-16T08:46:01.000Z,2016-03-16T09:08:15.000Z,2,-73.96590423583984,40.754310607910156,-74.01014709472656,40.70207214355469,N,1334,Wednesday,Wednesday,2,2,8,9,3,3,Morning,Morning,6.902136299210699
id1943743,1,2016-04-26T15:13:35.000Z,2016-04-26T15:22:37.000Z,1,-73.98554229736328,40.75225830078125,-73.98749542236328,40.76214599609375,N,542,Tuesday,Tuesday,5,5,15,15,4,4,Evening,Evening,1.1117023831678863
id0792675,2,2016-02-15T17:55:28.000Z,2016-02-15T18:02:11.000Z,2,-74.00784301757812,40.707698822021484,-74.0145492553711,40.7154426574707,N,403,Monday,Monday,1,1,17,18,2,2,Evening,Night,1.0300254118233174
id3667009,1,2016-01-07T17:56:14.000Z,2016-01-07T18:11:03.000Z,1,-74.00785827636719,40.71234130859375,-73.97474670410156,40.751953125,N,889,Thursday,Thursday,7,7,17,18,1,1,Evening,Night,5.21391036202845
id2100750,2,2016-04-27T11:04:53.000Z,2016-04-27T11:09:55.000Z,2,-74.00408935546875,40.71684265136719,-74.00941467285156,40.71070861816406,N,302,Wednesday,Wednesday,6,6,11,11,4,4,Afternoon,Afternoon,0.8165040744223495
id3466004,1,2016-05-18T23:59:06.000Z,2016-05-19T00:03:52.000Z,3,-73.9884033203125,40.76407241821289,-73.97797393798828,40.766204833984375,N,286,Wednesday,Thursday,4,5,23,0,5,5,Night,Night,0.9097874352329627
id0776484,2,2016-02-18T21:16:47.000Z,2016-02-18T21:23:45.000Z,1,-73.95829010009766,40.71330261230469,-73.94741821289062,40.7083740234375,N,418,Thursday,Thursday,4,4,21,21,2,2,Night,Night,1.0677347158903028
id3682919,1,2016-02-22T22:24:19.000Z,2016-02-22T22:31:02.000Z,2,-73.99076843261719,40.750823974609375,-73.9784927368164,40.75147247314453,N,403,Monday,Monday,1,1,22,22,2,2,Night,Night,1.036567329658139
id1970693,1,2016-03-24T22:04:09.000Z,2016-03-24T22:14:17.000Z,1,-73.9764404296875,40.73974609375,-73.9898910522461,40.74898147583008,N,608,Thursday,Thursday,3,3,22,22,3,3,Night,Night,1.5292469090773066
id0572776,2,2016-03-06T14:04:25.000Z,2016-03-06T14:19:33.000Z,2,-73.98797607421875,40.764991760253906,-73.97886657714844,40.74109649658203,N,908,Sunday,Sunday,6,6,14,14,3,3,Evening,Evening,2.76561545869298
id0783290,1,2016-06-25T00:36:10.000Z,2016-06-25T00:41:56.000Z,1,-73.98108673095703,40.753135681152344,-73.98812866210938,40.745582580566406,N,346,Saturday,Saturday,4,4,0,0,6,6,Night,Night,1.0282336273317547
id0529044,2,2016-06-15T12:41:43.000Z,2016-06-15T12:42:00.000Z,1,-73.98937225341797,40.742149353027344,-73.9894790649414,40.74171829223633,N,17,Wednesday,Wednesday,1,1,12,12,6,6,Afternoon,Afternoon,0.04876921826260269
id2122551,2,2016-03-05T16:35:40.000Z,2016-03-05T16:47:19.000Z,1,-73.98206329345703,40.76805877685547,-73.97913360595703,40.756290435791016,N,699,Saturday,Saturday,5,5,16,16,3,3,Evening,Evening,1.331641381277317
id2519152,2,2016-04-08T18:40:31.000Z,2016-04-08T18:45:28.000Z,1,-73.96910858154297,40.76956558227539,-73.96686553955078,40.76398468017578,N,297,Friday,Friday,1,1,18,18,4,4,Night,Night,0.648682633246823
id2107949,1,2016-02-25T23:25:31.000Z,2016-02-25T23:34:40.000Z,1,-73.97872924804688,40.753822326660156,-73.9493408203125,40.790924072265625,N,549,Thursday,Thursday,4,4,23,23,2,2,Night,Night,4.810875224208038
id0648739,1,2016-03-30T02:51:09.000Z,2016-03-30T02:54:09.000Z,1,-73.98491668701172,40.76914596557617,-73.99248504638672,40.75835418701172,N,180,Wednesday,Wednesday,2,2,2,2,3,3,Night,Night,1.3587756531551298
id3714155,2,2016-02-14T18:50:44.000Z,2016-02-15T18:49:25.000Z,1,-74.00933837890625,40.72615051269531,-73.94146728515625,40.684268951416016,N,86321,Sunday,Monday,7,1,18,18,2,2,Night,Night,7.376944821591112
id3249447,2,2016-04-17T02:56:35.000Z,2016-04-17T03:21:12.000Z,1,-74.00570678710938,40.740379333496094,-73.93360137939453,40.767520904541016,N,1477,Sunday,Sunday,3,3,2,3,4,4,Night,Night,6.782124907993276
id0563777,2,2016-02-02T14:54:03.000Z,2016-02-02T14:58:43.000Z,5,-73.99906158447266,40.73945236206055,-74.00806427001953,40.73560333251953,N,280,Tuesday,Tuesday,2,2,14,14,2,2,Evening,Evening,0.870924477124977
id0306672,2,2016-01-05T08:19:56.000Z,2016-01-05T08:24:55.000Z,1,-73.98319244384766,40.7551155090332,-73.97447204589844,40.76190185546875,N,299,Tuesday,Tuesday,5,5,8,8,1,1,Morning,Morning,1.0530480131493998
id1152254,2,2016-06-08T17:54:18.000Z,2016-06-08T18:13:06.000Z,1,-74.00544738769531,40.72697830200195,-74.01705169677734,40.711448669433594,N,1128,Wednesday,Wednesday,1,1,17,18,6,6,Evening,Night,1.984522441853854
id0369598,2,2016-01-16T11:14:25.000Z,2016-01-16T11:22:48.000Z,1,-73.98274230957031,40.75568771362305,-74.00106048583984,40.76273727416992,N,503,Saturday,Saturday,2,2,11,11,1,1,Afternoon,Afternoon,1.7305751670784963
id0002561,2,2016-04-12T21:40:05.000Z,2016-04-12T21:45:49.000Z,1,-73.98644256591797,40.752906799316406,-74.00591278076172,40.74547576904297,N,344,Tuesday,Tuesday,5,5,21,21,4,4,Night,Night,1.8365261401186366
id1762872,2,2016-05-11T19:50:40.000Z,2016-05-11T20:04:58.000Z,5,-73.98149108886719,40.76865005493164,-73.95874786376953,40.775760650634766,N,858,Wednesday,Wednesday,4,4,19,20,5,5,Night,Night,2.071982358869012
id0729061,1,2016-03-16T15:11:20.000Z,2016-03-16T15:33:27.000Z,1,-73.97402954101562,40.76272964477539,-73.98735809326172,40.72838592529297,N,1327,Wednesday,Wednesday,2,2,15,15,3,3,Evening,Evening,3.9805029337836926
id0101556,2,2016-03-19T17:57:35.000Z,2016-03-19T18:04:14.000Z,1,-73.97335052490234,40.784976959228516,-73.9804458618164,40.77031326293945,N,399,Saturday,Saturday,5,5,17,18,3,3,Evening,Night,1.7365401044518607
id2866716,2,2016-03-31T17:35:48.000Z,2016-03-31T17:40:17.000Z,1,-73.98413848876953,40.737396240234375,-73.9886474609375,40.74134826660156,N,269,Thursday,Thursday,3,3,17,17,3,3,Evening,Evening,0.5808833836944943
id2362510,2,2016-01-10T22:41:28.000Z,2016-01-10T22:51:11.000Z,1,-73.94171142578125,40.7984733581543,-73.97161865234375,40.786476135253906,N,583,Sunday,Sunday,3,3,22,22,1,1,Night,Night,2.849290375190924
id2049322,2,2016-04-01T01:44:29.000Z,2016-04-01T01:49:12.000Z,1,-73.9900131225586,40.757171630859375,-73.99474334716797,40.75524139404297,N,283,Friday,Friday,1,1,1,1,4,4,Night,Night,0.4525591965301508
id1050626,1,2016-06-10T20:02:24.000Z,2016-06-10T20:14:42.000Z,3,-73.9625473022461,40.775718688964844,-73.97649383544922,40.751625061035156,N,738,Friday,Friday,3,3,20,20,6,6,Night,Night,2.9252651460367742
id2866277,2,2016-01-25T00:47:20.000Z,2016-01-25T00:53:40.000Z,1,-73.98966979980469,40.756343841552734,-73.9952392578125,40.743831634521484,N,380,Monday,Monday,4,4,0,0,1,1,Night,Night,1.4682684450889851
id1756182,2,2016-01-18T00:01:41.000Z,2016-01-18T00:07:10.000Z,1,-74.00602722167969,40.73552322387695,-73.99017333984375,40.757076263427734,N,329,Monday,Monday,4,4,0,0,1,1,Night,Night,2.743608772714557
id1543686,2,2016-02-28T00:19:16.000Z,2016-02-28T00:35:00.000Z,1,-73.98162078857422,40.746490478515625,-73.9816665649414,40.72461700439453,N,944,Sunday,Sunday,7,7,0,0,2,2,Night,Night,2.4322258443121227
id1783058,2,2016-03-31T13:28:04.000Z,2016-03-31T13:31:44.000Z,5,-74.00543975830078,40.745845794677734,-73.9960708618164,40.74421310424805,N,220,Thursday,Thursday,3,3,13,13,3,3,Afternoon,Afternoon,0.8098819364341735
id0594912,1,2016-03-28T08:01:50.000Z,2016-03-28T08:08:22.000Z,1,-73.96263885498047,40.75559997558594,-73.97164916992188,40.75712966918945,N,392,Monday,Monday,7,7,8,8,3,3,Morning,Morning,0.7777612538868255
id3623020,1,2016-02-22T15:30:34.000Z,2016-02-22T15:42:29.000Z,1,-73.9491958618164,40.77681350708008,-73.9612808227539,40.777809143066406,N,715,Monday,Monday,1,1,15,15,2,2,Evening,Evening,1.0235933699083217
id1073547,1,2016-03-02T14:58:13.000Z,2016-03-02T15:09:02.000Z,2,-73.9577407836914,40.78520965576172,-73.9782943725586,40.77738571166992,N,649,Wednesday,Wednesday,2,2,14,15,3,3,Evening,Evening,1.936940176619899
id3743143,1,2016-03-22T21:59:58.000Z,2016-03-22T22:44:42.000Z,2,-73.99079895019531,40.75609588623047,-73.91889190673828,40.67523193359375,N,2684,Tuesday,Tuesday,1,1,21,22,3,3,Night,Night,10.843365900997185
id2108452,1,2016-01-17T19:50:34.000Z,2016-01-17T19:55:08.000Z,1,-73.99395751953125,40.74592208862305,-73.99016571044922,40.73782730102539,N,274,Sunday,Sunday,3,3,19,19,1,1,Night,Night,0.9551075100986277
id0099835,1,2016-04-26T19:58:26.000Z,2016-04-26T20:03:12.000Z,1,-73.96504211425781,40.774959564208984,-73.95954132080078,40.777809143066406,N,286,Tuesday,Tuesday,5,5,19,20,4,4,Night,Night,0.561198674442982
id0801994,2,2016-05-08T11:50:40.000Z,2016-05-08T11:53:21.000Z,1,-74.00553894042969,40.74565887451172,-73.99568939208984,40.745140075683594,N,161,Sunday,Sunday,1,1,11,11,5,5,Afternoon,Afternoon,0.8317616666036507
id3903565,2,2016-06-08T21:32:36.000Z,2016-06-08T21:43:18.000Z,1,-73.96821594238281,40.75094223022461,-73.94291687011719,40.78571319580078,N,642,Wednesday,Wednesday,1,1,21,21,6,6,Night,Night,4.414516572828766
id2753228,1,2016-01-31T11:51:26.000Z,2016-01-31T11:54:50.000Z,1,-73.95492553710938,40.777259826660156,-73.95015716552734,40.77180480957031,N,204,Sunday,Sunday,3,3,11,11,1,1,Afternoon,Afternoon,0.7274288935843743
id2530134,2,2016-02-08T08:30:32.000Z,2016-02-08T08:38:43.000Z,1,-73.97505950927734,40.79254913330078,-73.96198272705078,40.81026840209961,N,491,Monday,Monday,1,1,8,8,2,2,Morning,Morning,2.256903315634011
id2224663,1,2016-03-06T17:35:15.000Z,2016-03-06T18:01:10.000Z,2,-73.87443542480469,40.77392578125,-74.00761413574219,40.705928802490234,N,1555,Sunday,Sunday,6,6,17,18,3,3,Evening,Night,13.530101338084469
id1791479,1,2016-06-21T22:12:18.000Z,2016-06-21T22:33:29.000Z,2,-73.99565887451172,40.733768463134766,-73.97242736816406,40.78559112548828,N,1271,Tuesday,Tuesday,7,7,22,22,6,6,Night,Night,6.0855679718683495
id0644641,1,2016-02-17T10:15:16.000Z,2016-02-17T10:17:14.000Z,1,-73.9585952758789,40.784027099609375,-73.9695053100586,40.78544616699219,N,118,Wednesday,Wednesday,3,3,10,10,2,2,Afternoon,Afternoon,0.9320084413348204
id2132447,1,2016-03-31T21:53:33.000Z,2016-03-31T22:02:00.000Z,2,-73.98164367675781,40.7733039855957,-73.96043395996094,40.76986312866211,N,507,Thursday,Thursday,3,3,21,22,3,3,Night,Night,1.826594147204235
id3074449,1,2016-06-05T11:21:28.000Z,2016-06-05T11:35:50.000Z,4,-73.97378540039062,40.784400939941406,-73.98350524902344,40.76677322387695,N,862,Sunday,Sunday,5,5,11,11,6,6,Afternoon,Afternoon,2.124130413358782
id0522317,2,2016-01-19T09:48:14.000Z,2016-01-19T10:05:36.000Z,1,-73.9917221069336,40.73853302001953,-74.01144409179688,40.71349334716797,N,1042,Tuesday,Tuesday,5,5,9,10,1,1,Morning,Afternoon,3.242572026316625
id2213216,2,2016-01-25T11:38:18.000Z,2016-01-25T12:27:20.000Z,1,-73.9947509765625,40.74517822265625,-73.95426177978516,40.7652587890625,N,2942,Monday,Monday,4,4,11,12,1,1,Afternoon,Afternoon,4.076367609061812
id0369777,1,2016-05-12T14:33:39.000Z,2016-05-12T14:53:32.000Z,1,-73.98412322998047,40.725067138671875,-73.95611572265625,40.76353454589844,N,1193,Thursday,Thursday,5,5,14,14,5,5,Evening,Evening,4.884997740911572
id2496116,1,2016-04-16T02:47:43.000Z,2016-04-16T02:50:49.000Z,1,-73.91519165039062,40.76371383666992,-73.92327880859375,40.753761291503906,N,186,Saturday,Saturday,2,2,2,2,4,4,Night,Night,1.2994984589811085
id1973409,1,2016-06-02T08:40:04.000Z,2016-06-02T09:09:38.000Z,1,-73.98250579833984,40.77455520629883,-73.98531341552734,40.744266510009766,N,1774,Thursday,Thursday,2,2,8,9,6,6,Morning,Morning,3.376245624172241
id0488510,1,2016-03-11T20:29:35.000Z,2016-03-11T20:29:37.000Z,2,-74.0011978149414,40.685394287109375,-74.0011978149414,40.685394287109375,N,2,Friday,Friday,4,4,20,20,3,3,Night,Night,0.0
id0277312,2,2016-01-21T10:10:54.000Z,2016-01-21T10:36:32.000Z,1,-73.95372772216797,40.76692581176758,-73.99472045898438,40.7336540222168,N,1538,Thursday,Thursday,7,7,10,10,1,1,Afternoon,Afternoon,5.060775828616328
id0196488,1,2016-01-05T14:54:48.000Z,2016-01-05T15:42:43.000Z,1,-73.789794921875,40.646568298339844,-73.96843719482422,40.707435607910156,Y,2875,Tuesday,Tuesday,5,5,14,15,1,1,Evening,Evening,16.515400620702753
id3490605,1,2016-06-27T19:58:10.000Z,2016-06-27T20:43:19.000Z,1,-73.78068542480469,40.64517593383789,-73.982421875,40.73527526855469,N,2709,Monday,Monday,6,6,19,20,6,6,Night,Night,19.740303534428133
id3039679,1,2016-05-25T13:35:56.000Z,2016-05-25T14:05:01.000Z,1,-73.97367858886719,40.791324615478516,-73.99299621582031,40.73986053466797,N,1745,Wednesday,Wednesday,4,4,13,14,5,5,Afternoon,Evening,5.949316848474626
id0687554,1,2016-01-10T14:14:23.000Z,2016-01-10T14:25:24.000Z,1,-73.98861694335938,40.73768997192383,-74.0097427368164,40.71652603149414,N,661,Sunday,Sunday,3,3,14,14,1,1,Evening,Evening,2.9508038866386483
id0394305,2,2016-04-08T23:20:25.000Z,2016-04-09T00:02:28.000Z,5,-73.98287963867188,40.76679992675781,-73.88822937011719,40.82680130004883,N,2523,Friday,Saturday,1,2,23,0,4,4,Night,Night,10.392041360883605
id3071059,1,2016-01-24T13:49:35.000Z,2016-01-24T13:56:40.000Z,1,-73.991455078125,40.72772216796875,-73.97171020507812,40.751041412353516,N,425,Sunday,Sunday,3,3,13,13,1,1,Afternoon,Afternoon,3.0807281690488018
id0175325,2,2016-03-27T20:08:06.000Z,2016-03-27T20:20:34.000Z,1,-73.92569732666016,40.70613098144531,-73.95036315917969,40.71411895751953,N,748,Sunday,Sunday,6,6,20,20,3,3,Night,Night,2.2608232848350345
id2454333,2,2016-02-27T03:35:34.000Z,2016-02-27T03:40:27.000Z,3,-73.99457550048828,40.745338439941406,-74.00395965576172,40.74279022216797,N,293,Saturday,Saturday,6,6,3,3,2,2,Night,Night,0.8398125655170439
id1682489,2,2016-04-20T06:36:05.000Z,2016-04-20T06:44:23.000Z,1,-73.99152374267578,40.750160217285156,-74.01117706298828,40.71345138549805,N,498,Wednesday,Wednesday,6,6,6,6,4,4,Morning,Morning,4.404970499853949
id1033137,1,2016-04-03T03:29:52.000Z,2016-04-03T03:43:40.000Z,1,-74.00789642333984,40.74029541015625,-74.00617218017578,40.710323333740234,N,828,Sunday,Sunday,3,3,3,3,4,4,Night,Night,3.33591340638253
id0487271,2,2016-04-14T18:50:23.000Z,2016-04-14T19:00:21.000Z,1,-73.97413635253906,40.730567932128906,-73.97402954101562,40.75069808959961,N,598,Thursday,Thursday,7,7,18,19,4,4,Night,Night,2.238392633937554
id2287223,2,2016-03-25T13:27:57.000Z,2016-03-25T13:31:24.000Z,6,-73.9981689453125,40.722599029541016,-73.99626159667969,40.72365188598633,N,207,Friday,Friday,4,4,13,13,3,3,Afternoon,Afternoon,0.1988511161353393
id3367210,1,2016-01-22T11:45:34.000Z,2016-01-22T11:56:48.000Z,1,-73.9892578125,40.747840881347656,-73.97920227050781,40.761627197265625,N,674,Friday,Friday,1,1,11,11,1,1,Afternoon,Afternoon,1.751398462101326
id2068708,1,2016-04-26T21:56:10.000Z,2016-04-26T22:03:14.000Z,1,-73.97647857666016,40.759849548339844,-73.98995208740234,40.750755310058594,N,424,Tuesday,Tuesday,5,5,21,22,4,4,Night,Night,1.520051948778603
id1461184,1,2016-01-10T19:27:57.000Z,2016-01-10T19:46:07.000Z,1,-73.99109649658203,40.75585174560547,-74.00335693359375,40.73166275024414,N,1090,Sunday,Sunday,3,3,19,19,1,1,Night,Night,2.881201901919493
id1199791,1,2016-01-09T18:20:57.000Z,2016-01-09T18:32:37.000Z,1,-73.98351287841797,40.73833465576172,-73.99150848388672,40.74901580810547,N,700,Saturday,Saturday,2,2,18,18,1,1,Night,Night,1.3654084115414316
id1211143,1,2016-04-17T13:27:12.000Z,2016-04-17T13:28:12.000Z,1,-73.98229217529297,40.74496841430664,-73.98229217529297,40.74507522583008,N,60,Sunday,Sunday,3,3,13,13,4,4,Afternoon,Afternoon,0.011876916291297309
id3107492,1,2016-04-03T14:26:23.000Z,2016-04-03T14:55:12.000Z,1,-73.9767837524414,40.77528381347656,-73.88534545898438,40.77301788330078,N,1729,Sunday,Sunday,3,3,14,14,4,4,Evening,Evening,7.7038562139699005
id3804866,2,2016-05-14T18:28:32.000Z,2016-05-14T18:32:23.000Z,6,-73.94640350341797,40.780426025390625,-73.94986724853516,40.7721061706543,N,231,Saturday,Saturday,7,7,18,18,5,5,Night,Night,0.9700136882687863
id0918376,1,2016-06-12T12:45:55.000Z,2016-06-12T12:59:31.000Z,1,-73.98363494873047,40.7628059387207,-73.98823547363281,40.75661849975586,N,816,Sunday,Sunday,5,5,12,12,6,6,Afternoon,Afternoon,0.7896217095700168
id0727288,2,2016-06-03T10:47:36.000Z,2016-06-03T11:14:09.000Z,1,-73.98242950439453,40.75151824951172,-74.01573181152344,40.7152099609375,N,1593,Friday,Friday,3,3,10,11,6,6,Afternoon,Afternoon,4.916653278922373
id3552971,2,2016-02-19T00:50:49.000Z,2016-02-19T00:56:32.000Z,5,-73.99270629882812,40.71508026123047,-74.01286315917969,40.70225143432617,N,343,Friday,Friday,5,5,0,0,2,2,Night,Night,2.218461959501882
id2553762,2,2016-04-07T14:39:31.000Z,2016-04-07T14:57:56.000Z,6,-73.97708129882812,40.76456069946289,-73.96808624267578,40.76032638549805,N,1105,Thursday,Thursday,7,7,14,14,4,4,Evening,Evening,0.8919707455610523
id2078609,1,2016-05-04T10:11:35.000Z,2016-05-04T10:23:29.000Z,1,-73.97958374023438,40.735450744628906,-73.97029113769531,40.75651168823242,N,714,Wednesday,Wednesday,4,4,10,10,5,5,Afternoon,Afternoon,2.4692505619369185
id2200217,2,2016-05-27T06:53:21.000Z,2016-05-27T06:59:24.000Z,2,-73.9483642578125,40.7781982421875,-73.96427154541016,40.767818450927734,N,363,Friday,Friday,6,6,6,6,5,5,Morning,Morning,1.768181691227923
id2406668,1,2016-06-12T10:26:31.000Z,2016-06-12T10:42:36.000Z,2,-73.9476547241211,40.78364562988281,-73.99181365966797,40.73475646972656,N,965,Sunday,Sunday,5,5,10,10,6,6,Afternoon,Afternoon,6.586805620078289
id2511675,1,2016-01-12T21:52:14.000Z,2016-01-12T21:57:22.000Z,1,-73.96701049804688,40.79362487792969,-73.98115539550781,40.78099822998047,N,308,Tuesday,Tuesday,5,5,21,21,1,1,Night,Night,1.8410398437489353
id3791250,1,2016-02-12T09:15:02.000Z,2016-02-12T09:23:00.000Z,1,-73.96562957763672,40.77167510986328,-73.97569274902344,40.76050567626953,N,478,Friday,Friday,5,5,9,9,2,2,Morning,Morning,1.5035860167804356
id1530269,2,2016-03-04T09:16:17.000Z,2016-03-04T09:17:30.000Z,1,-73.94290924072266,40.79399490356445,-73.94384765625,40.79960250854492,N,73,Friday,Friday,4,4,9,9,3,3,Morning,Morning,0.6285219483299438
id1596631,2,2016-05-15T10:02:53.000Z,2016-05-15T10:07:36.000Z,2,-73.95995330810547,40.77044677734375,-73.95103454589844,40.78569030761719,N,283,Sunday,Sunday,1,1,10,10,5,5,Afternoon,Afternoon,1.8539176222915092
id2682740,1,2016-02-20T00:11:31.000Z,2016-02-20T00:29:41.000Z,1,-73.97962188720703,40.6824836730957,-74.00335693359375,40.73536682128906,N,1090,Saturday,Saturday,6,6,0,0,2,2,Night,Night,6.211355065868483
id2163588,2,2016-02-05T14:28:07.000Z,2016-02-05T14:46:12.000Z,1,-73.98231506347656,40.7401237487793,-74.00748443603516,40.74103546142578,N,1085,Friday,Friday,5,5,14,14,2,2,Evening,Evening,2.1229273785514775
id1145188,2,2016-04-27T20:50:39.000Z,2016-04-27T20:59:16.000Z,1,-73.97724914550781,40.750709533691406,-73.96341705322266,40.7576904296875,N,517,Wednesday,Wednesday,6,6,20,20,4,4,Night,Night,1.4000091404349435
id1411551,2,2016-01-20T12:58:25.000Z,2016-01-20T13:14:01.000Z,2,-73.95853424072266,40.775482177734375,-73.9651870727539,40.76336669921875,N,936,Wednesday,Wednesday,6,6,12,13,1,1,Afternoon,Afternoon,1.459035012677853
id0903561,2,2016-03-27T17:54:25.000Z,2016-03-27T18:06:04.000Z,2,-73.97392272949219,40.764705657958984,-73.9864730834961,40.75664520263672,N,699,Sunday,Sunday,6,6,17,18,3,3,Evening,Night,1.385878169834825
